iter	Passed	Remaining
1324	6862	906
1325	6866	901
1326	6870	895
1327	6873	890
1328	6877	884
1329	6882	879
1330	6885	874
1331	6890	869
1332	6894	863
1333	6897	858
1334	6901	853
1335	6905	847
1336	6909	842
1337	6914	837
1338	6918	831
1339	6922	826
1340	6927	821
1341	6931	816
1342	6935	810
1343	6940	805
1344	6944	800
1345	6948	794
1346	6952	789
1347	6957	784
1348	6961	779
1349	6965	773
1350	6971	768
1351	6975	763
1352	6979	758
1353	6983	753
1354	6988	747
1355	6991	742
1356	6995	737
1357	7000	731
1358	7005	726
1359	7009	721
1360	7012	716
1361	7016	710
1362	7020	705
1363	7024	700
1364	7028	695
1365	7032	689
1366	7036	684
1367	7041	679
1368	7044	674
1369	7049	668
1370	7054	663
1371	7063	659
1372	7068	653
1373	7072	648
1374	7076	643
1375	7080	638
1376	7083	632
1377	7087	627
1378	7091	622
1379	7094	616
1380	7098	611
1381	7101	606
1382	7105	601
1383	7110	595
1384	7113	590
1385	7128	586
1386	7132	581
1387	7136	575
1388	7140	570
1389	7144	565
1390	7148	560
1391	7151	554
1392	7155	549
1393	7159	544
1394	7162	539
1395	7166	533
1396	7170	528
1397	7174	523
1398	7178	518
1399	7181	512
1400	7186	507
1401	7190	502
1402	7194	497
1403	7198	492
1404	7202	486
1405	7207	481
1406	7211	476
1407	7214	471
1408	7218	466
1409	7222	461
1410	7226	455
1411	7230	450
1412	7235	445
1413	7239	440
1414	7244	435
1415	7248	429
1416	7253	424
1417	7257	419
1418	7262	414
1419	7266	409
1420	7270	404
1421	7275	399
1422	7279	393
1423	7284	388
1424	7289	383
1425	7293	378
1426	7297	373
1427	7303	368
1428	7308	363
1429	7313	357
1430	7317	352
1431	7323	347
1432	7327	342
1433	7330	337
1434	7339	332
1435	7352	327
1436	7357	322
1437	7371	317
1438	7375	312
1439	7380	307
1440	7386	302
1441	7390	297
1442	7393	292
1443	7399	286
1444	7403	281
1445	7417	276
1446	7420	271
1447	7424	266
1448	7429	261
1449	7432	256
1450	7437	251
1451	7441	246
1452	7446	240
1453	7450	235
1454	7454	230
1455	7458	225
1456	7462	220
1457	7466	215
1458	7470	209
1459	7474	204
1460	7480	199
1461	7484	194
1462	7488	189
1463	7492	184
1464	7495	179
1465	7499	173
1466	7504	168
1467	7507	163
1468	7512	158
1469	7515	153
1470	7519	148
1471	7523	143
1472	7527	137
1473	7532	132
1474	7536	127
1475	7541	122
1476	7545	117
1477	7549	112
1478	7553	107
1479	7562	102
1480	7566	97
1481	7571	91
1482	7578	86
1483	7582	81
1484	7587	76
1485	7593	71
1486	7597	66
1487	7602	61
1488	7607	56
1489	7612	51
1490	7623	46
1491	7627	40
1492	7631	35
1493	7635	30
1494	7639	25
1495	7644	20
1496	7648	15
1497	7653	10
1498	7657	5
1499	7660	0
